index,symbol,cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77
237,STXBP1,5,-0.929121636529,-1.31056006781,-0.727978824914,-0.377452194053,-0.613755818975,0.781141513262,0.890890726896,0.724271832812,1.56256446931
238,SYNGAP1,5,-1.6672217892,-0.342869744422,-0.455758808288,-0.176573958561,-0.0054574151462,-0.788784671033,1.37325919663,0.694775626367,1.36863156366
239,TRAF3,5,-1.41497244443,-1.2082909285,-0.684347201231,0.382767900932,-0.345752924313,0.0240103273626,0.682772760458,1.12351411434,1.44029839538
240,TRAF3IP1,5,-1.01940046684,-1.03422418668,-0.912115848152,0.800528061787,-0.263250007463,-0.537221088636,0.419007053661,1.83997215888,0.706704323431
241,UHMK1,5,-1.79216777911,-0.785397239748,-0.218682158089,-0.627018176015,-0.225640532953,0.597932586035,0.758301590537,0.902735736807,1.38993597253
242,WWOX,5,-1.70319571217,-0.904799584041,-0.377281621747,-0.194143093698,0.569515406426,-0.541449574542,0.942906052232,1.38281003485,0.825638092686
243,ACE,6,-0.531470130631,-0.781247732951,-0.669592798389,-0.539922323811,-0.569556332257,-0.356483019088,0.229122041825,1.02567230121,2.19347799409
244,ADCYAP1,6,-0.998796736827,-0.494236102011,0.255701503822,-0.439157329469,-0.837903621641,-0.471571416437,-0.127427775511,0.959791153243,2.15360032483
245,ADRA1A,6,-0.589552193032,-0.699130763878,0.033013836882,-0.627316196647,-0.624147638716,-0.333117521866,-0.175414359264,0.58842665804,2.42723817848
246,ADRA2A,6,-0.864776985722,-0.58768430444,-0.766124696936,-0.575910660065,-0.443799140708,-0.475344877815,0.462189207709,1.44452115126,1.80693030672
247,ANK3,6,-0.528175204677,-0.708698479935,-0.565379417362,-0.779034189305,-0.603132464137,-0.423175917655,0.355780374145,1.21624218006,2.03557311887
248,ANKK1,6,-1.1302561767,-1.02841292974,-0.938094057426,0.340475954137,0.191158982465,-0.149650914936,-0.120969764572,0.881853596956,1.95389530982
249,APOD,6,-1.13130078578,-1.13681852427,1.51560647433,-0.394681021389,-0.47943180809,-0.410821275334,0.115217523159,0.3629596041,1.55926981327
250,APOL1,6,-0.659368731662,-0.512639293881,-0.640662014212,-0.502846256518,-0.486776504144,-0.0320797521026,0.182750684356,0.131615786304,2.52000608186
251,APP,6,-0.763388076151,-1.21353964422,-1.01196040587,-0.731941816358,-0.105590778059,0.359327565867,0.930074174769,0.98458946918,1.55242951084
252,ARHGAP31,6,-0.718548263457,-1.39440146825,-0.303866389678,-0.338006123327,-0.0929376665544,-0.15858451619,0.0951372958178,0.730224709327,2.18098242231
253,ARVCF,6,-0.292293000419,-0.677271460075,-1.02285601514,-0.664407733643,-0.300307481322,-0.683858782091,0.411129036572,1.50244663579,1.72741880033
254,BDNF,6,0.0603712406956,-1.34677806553,-1.22972048409,-0.816161218581,-0.479175019521,0.882918637165,0.987409120355,0.709725332115,1.2314104574
255,CACNA1C,6,-0.953272174477,-0.884140071234,-0.749983933166,-0.309451155532,-0.0922474206975,0.00458503615784,-0.0807951291338,0.847733739004,2.21757110908
256,CACNG5,6,0.102554999461,-0.822512738209,-0.241369234861,0.283068304431,-0.0860839880841,-0.596308532186,-0.775207130708,-0.333798826926,2.46965714708
257,CALB2,6,0.739393464536,0.0852512822796,-0.872815992908,-0.913714612043,-0.922259276775,-0.811492690412,-0.0628951850383,0.863729491662,1.8948035187
258,CAMK2B,6,-0.72722648643,-0.66322648962,-0.602922383015,-0.447013242643,-0.444374548429,-0.420823291335,-0.0155552156958,1.12291753797,2.1982241192
259,CCKAR,6,-0.645353267418,-0.682858601669,-0.623394072935,-0.515006776429,-0.385008191678,-0.459883244118,-0.0694524876337,1.25264862839,2.1283080135
260,CHAT,6,-1.09888005507,-0.472946193198,-0.170883831193,0.145542387188,-0.572781968757,-0.108405350722,-0.224057197981,0.0270054090645,2.47540680067
261,CHGB,6,-0.519006871011,-0.779797329782,-0.563822359252,-0.0268248134375,-0.562458475322,-0.464429856073,-0.0876591359001,0.566000088277,2.4379987525
262,CHL1,6,-1.02605859766,-0.985911428042,-0.739050755114,-0.59920334799,-0.0330875340935,-0.284772224134,0.643777172362,1.50555279165,1.51875392302
263,CHRM4,6,-0.943214407183,-0.184438694672,-0.776891802827,0.629334473052,-0.699203436185,-0.547827711093,-0.293973248479,0.622056428171,2.19415839922
264,CHRNA2,6,-0.600497719935,-0.851482317202,-0.40070230764,-0.72714369605,-0.261273879432,-0.722325463525,0.664605346089,2.15360561346,0.745214424237
265,CLOCK,6,-1.52284233238,-0.2547165498,0.626220350158,-1.2213599984,-0.639341878243,0.172720405607,0.920118623994,0.409453930635,1.50974744842
266,CNR1,6,-0.721554132914,-0.721416289663,-0.642554979145,-0.551746413672,-0.472079877548,-0.189836217668,0.133254636245,0.892533288919,2.27339998545
267,CNTF,6,-1.0840252179,-1.0840252179,-0.735806345553,-0.197543429299,0.390255577448,-0.269695566086,0.336635260257,0.536266616106,2.10793832292
268,COMT,6,-0.745882998225,-1.36884347262,-1.21223006902,0.0397569253622,-0.114913939543,0.132811829991,0.531978000485,1.22986637447,1.50745734909
